N, V, Time (ms)
1000000, 2, 56.4305
1000000, 4, 60.2539
1000000, 8, 63.287
1000000, 16, 57.6464
1000000, 32, 57.3931
1000000, 64, 56.5888
1000000, 128, 56.9602
1000000, 256, 57.4939
